raw_code,link_count,registry_classification,routing_classification,canonical_code,is_core_alias,canonical_name,parent_code,root_code,wiktionary_section,parent_chain_json,components_json,source_language_counts_json,example_1_source_lang,example_1_source_word,example_1_source_pos,example_1_source_id,example_1_target_word,example_1_target_label,example_1_anchor,example_2_source_lang,example_2_source_word,example_2_source_pos,example_2_source_id,example_2_target_word,example_2_target_label,example_2_anchor,example_3_source_lang,example_3_source_word,example_3_source_pos,example_3_source_id,example_3_target_word,example_3_target_label,example_3_anchor
ff,23,full_language,,ff,false,Fula,,,,[],[],"{""ca"": 2, ""en"": 16, ""fi"": 2, ""fr"": 3}",fr,Konaté,name,78910,Konaté,,,fr,Mopti,name,88683,Motti,,,fr,adlam,noun,390756,Alkule Dandaydhe Leñol Mulugol,,
kky,23,full_language,,kky,false,Guugu Yimidhirr,,,,[],[],"{""ca"": 2, ""da"": 1, ""de"": 1, ""en"": 4, ""es"": 2, ""fi"": 1, ""fr"": 1, ""hu"": 1, ""id"": 1, ""it"": 1, ""nb"": 1, ""nl"": 1, ""pl"": 1, ""pt"": 1, ""ro"": 1, ""tr"": 1, ""uk"": 1, ""vi"": 1}",fr,kangourou,noun,50789,gangurru,,,de,Känguru,noun,41484,gangurru,,,es,canguro,noun,51245,gangurru,,
mak,23,full_language,,mak,false,Makasar,,,,[],[],"{""en"": 12, ""id"": 10, ""pt"": 1}",en,koro,noun,433495,garring koro',,,en,Makassar,name,441790,Mangkasaraʼ,,,en,Bugis,noun,479247,ᨅᨘᨁᨗᨔᨗ,,
nv,23,full_language,,nv,false,Navajo,,,,[],[],"{""en"": 22, ""hu"": 1}",en,Little,name,2833,hastiin,,,en,Claw,name,215036,Claw,,,en,Chee,name,350862,Chee,,
nys,23,full_language,,nys,false,Nyunga,,,,[],[],"{""en"": 21, ""it"": 1, ""pl"": 1}",it,quokka,noun,191332,kwaka,,,en,kylie,noun,223862,kylie,,,en,marl,noun,390065,maarl,,
ryu,23,full_language,,ryu,false,Okinawan,,,,[],[],"{""cs"": 1, ""da"": 1, ""en"": 9, ""es"": 1, ""id"": 1, ""nb"": 1, ""nl"": 3, ""pt"": 1, ""ro"": 1, ""ru"": 2, ""sv"": 1, ""uk"": 1}",es,karate,noun,39154,唐手,,,en,goya,noun,374782,ごーやー,,,en,eisa,noun,473040,エイサー,,
xal,23,full_language,,xal,false,Kalmyk,,,,[],[],"{""cs"": 1, ""en"": 8, ""fi"": 1, ""hu"": 1, ""ro"": 2, ""ru"": 5, ""tr"": 5}",en,horde,noun,280167,орда,,,en,saxaul,noun,836183,за,,,en,cacholong,noun,886500,чолун,,
bcl,22,full_language,,bcl,false,Central Bikol,,,,[],[],"{""en"": 11, ""es"": 3, ""id"": 8}",es,baguio,noun,132142,bagyo,,,es,pichel,noun,153851,pitsel,,,es,hampáo,noun,760233,ampaw,,
lou,22,full_language,,lou,false,Louisiana Creole,,,,[],[],"{""en"": 9, ""fr"": 9, ""nb"": 2, ""pl"": 2}",fr,gros chien,noun,6573,gro shyin,,,fr,li,pron,15506,li,,,fr,rat de bois,noun,23922,ra-d-bwa,,
mxi,22,full_language,,mxi,false,Mozarabic,,,,[],[],"{""ca"": 6, ""es"": 10, ""gl"": 1, ""pt"": 5}",es,semilla,noun,21366,xeminio,,,es,Gálvez,name,38222,Galib,,,es,chocho,noun,54896,xauxu,,
"nn,sv",22,multiple_languages,,,false,,,,,[],"[{""input"": ""nn"", ""classification"": ""full_language"", ""canonical"": ""nn"", ""name"": ""Norwegian Nynorsk""}, {""input"": ""sv"", ""classification"": ""full_language"", ""canonical"": ""sv"", ""name"": ""Swedish""}]","{""da"": 3, ""en"": 19}",en,might,noun,3463,makt,,,en,deep,adj,18595,djup,,,en,sick,adj,28601,sjuk,,
